kode_limbah,nama_limbah,kategori,karakteristik,sumber_limbah,bentuk_limbah,kemasan_angkut,info_tambahan
A317-3,"Residu Asam Pickling [Proses Logam non-Ferro antara lain Al, Zn, dan Cu Alloys]",1,Korosif,,,Drum Plastik,Kategori bahaya 1 (PP 101/2014)
A318-1,Larutan Asam Bekas[Industri Peleburan Aki Bekas],1,Korosif,,,Drum Plastik,Kategori bahaya 1 (PP 101/2014)
A318-2,Sludge IPAL,1,,,,,Kategori bahaya 1 (PP 101/2014)
A323-1,"Pelarut Bekas dan Cairan Organik dan Anorganik Bekas Pencucian (Cleaning)[Manufaktur, Perakitan, dan Pemeliharaan kendaraan dan Mesin]",1,Cairan Mudah Menyala,,,Drum Besi,Kategori bahaya 1 (PP 101/2014)
A323-2,"Sludge Proses Produksi yang Meliputi Manufakturing, Perakitan, dan Pemeliharaan",1,Beracun,,,Drum Besi,Kategori bahaya 1 (PP 101/2014)
A323-3,"Residu Proses Produksi yang Meliputi Manufakturing, Perakitan, dan Pemeliharaan",1,Beracun,,,Jumbo Bag,Kategori bahaya 1 (PP 101/2014)
A324-2,Larutan Bekas dari Kegiatan Pengolahan,1,Mudah Menyala,,,Drum Plastik,Kategori bahaya 1 (PP 101/2014)
A324-3,Larutan Asam Pickling,1,Korosif,,,Drum Besi,Kategori bahaya 1 (PP 101/2014)
A324-6,Larutan Bekas Degreasing,1,Korosif,,,Drum Besi,Kategori bahaya 1 (PP 101/2014)
A324-7,Residu dan Larutan Batch,1,Beracun,,,Drum Besi,Kategori bahaya 1 (PP 101/2014)
A324-8,"Spent plating solutions antara lain Cr (hexavalent), Pb, Ni, As, Cu, Zn, Cd, Fe, Sn atau kombinasi logam tersebut",1,,,,,Kategori bahaya 1 (PP 101/2014)
A325-1,Limbah Cat dan Varnish mengandung Pelarut Organik [Cat Mencakup Kegiatan Varnish dan Pelapisan dengan Bahan Lainnya],1,Beracun,,,Drum Besi,Kategori bahaya 1 (PP 101/2014)
A327-1,Larutan Asam Bekas[Baterai Sel Basah],1,Korosif,,,Drum Plastik,Kategori bahaya 1 (PP 101/2014)
A337-1,Limbah Klinis memiliki karakteristik infeksius [Rumah Sakit dan Fasilitas Pelayanan Kesehatan],1,Infeksius,,,Drum Plastik,Kategori bahaya 1 (PP 101/2014)
A337-2,Produk Farmasi Kadaluwarsa,1,Beracun,,,Drum Plastik,Kategori bahaya 1 (PP 101/2014)
A337-3,Bahan Kimia Kadaluwarsa,1,Beracun,,,Drum Plastik,Kategori bahaya 1 (PP 101/2014)
A337-4,Peralatan Laboratorium Terkontaminasi B3,1,Beracun,,,Drum Plastik,Kategori bahaya 1 (PP 101/2014)
A337-5,"Peralatan medis mengandung logam berat, termasuk merkuri (Hg), kadmium (Cd), dan sejenisnya",1,,,,,Kategori bahaya 1 (PP 101/2014)
A338-1,Bahan Kimia Kadaluwarsa[Laboratorium Riset dan Komersial],1,Beracun,,,Drum Besi,Kategori bahaya 1 (PP 101/2014)
A338-2,Peralatan Laboratorium Terkontaminasi B3,1,Beracun,,,Drum Besi,Kategori bahaya 1 (PP 101/2014)
A338-3,Residu Sampel Limbah B3,1,Beracun,,,Drum Besi,Kategori bahaya 1 (PP 101/2014)
A339-1,"Larutan Developer, Fixer, dan Bleach Bekas [Fotografi]",1,Beracun,,,Drum Besi,Kategori bahaya 1 (PP 101/2014)
A341-1,"Residu Produksi dan Konsentrat [Sabun Deterjen, Produk Pembersih, Desinfektan, atau Kosmetik]",1,Beracun,,,"Drum Besi, Jumbo Bag",Kategori bahaya 1 (PP 101/2014)
